feature_1,feature_2,correlation,group
Ratio_Tissue_vol_enhancing_more_than_30percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_70percent_from_PostCon_to_Tissue_Vol,0.9069623502377822,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_50percent_from_PostCon_to_Tissue_Vol,0.9927794605321056,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_60percent_from_PostCon_to_Tissue_Vol,0.9768534109692918,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_70percent_from_PostCon_to_Tissue_Vol,0.9563900079339183,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_80percent_from_PostCon_to_Tissue_Vol,0.934085700826238,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Tissue_Vol,0.9119285985702719,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_60percent_from_PostCon_to_Tissue_Vol,0.9953065007329553,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_70percent_from_PostCon_to_Tissue_Vol,0.9838597872676987,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_80percent_from_PostCon_to_Tissue_Vol,0.9686664902987224,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Tissue_Vol,0.951941132065514,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.9337416290154203,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_70percent_from_PostCon_to_Tissue_Vol,0.9964909662123651,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_80percent_from_PostCon_to_Tissue_Vol,0.9878308183738179,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Tissue_Vol,0.9763116003492446,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.962506484084492,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_70percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_80percent_from_PostCon_to_Tissue_Vol,0.9973393254658582,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_70percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Tissue_Vol,0.9907765004977658,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_70percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.9812789014697181,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_80percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Tissue_Vol,0.9979850556191636,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_80percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.9925532739511725,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.9982579040859452,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,PE_map_mean_tissue_PostCon,0.9088599852189738,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_1,Grouping_based_mean_of_washin_slope_3D_tissue_T1_Group_1,1.0,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_2,Grouping_based_mean_of_washin_slope_3D_tissue_T1_Group_2,0.943674327583699,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_2,PE_map_mean_tissue_T1,0.905636492764372,FGT Enhancement
Grouping_based_mean_of_washin_slope_3D_tissue_T1_Group_2,PE_map_mean_tissue_T1,0.9159140844619805,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_1,Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_1,1.0,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_2,Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_3,0.9378494472668831,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_2,Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_2,0.974982874726058,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_2,Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_3,0.9021202878092391,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_2,PE_map_mean_tissue_PostCon,0.9581530423927034,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_3,Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_2,0.9054812869745607,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_3,Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_3,0.9489296911794355,FGT Enhancement
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_3,PE_map_mean_tissue_PostCon,0.9291944442386285,FGT Enhancement
Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_2,Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_3,0.9386952112217747,FGT Enhancement
Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_2,PE_map_mean_tissue_PostCon,0.9461841816179478,FGT Enhancement
Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_3,PE_map_mean_tissue_PostCon,0.9060103114650098,FGT Enhancement
SER_Partial_tissue_vol_cu_mm_T1,SER_Washout_tissue_vol_cu_mm_T1,0.9912659993481283,FGT Enhancement
Peak_SER_tissue_T1,Peak_SER_tissue_PostCon,0.9353111067664726,FGT Enhancement
Peak_PE_tissue_T1,Peak_PE_tissue_PostCon,0.932197599769601,FGT Enhancement
WashinRate_map_mean_tissue_T1,WashinRate_map_mean_tissue_PostCon,0.9321971711923056,FGT Enhancement
SER_Partial_tissue_vol_cu_mm_PostCon,SER_Washout_tissue_vol_cu_mm_PostCon,0.9787187967561218,FGT Enhancement
Autocorrelation_tissue_T1,Sum_of_Squares_variance_tissue_T1,0.9957099908952773,FGT Enhancement Texture
